,Step,HORSE penalty,CONOP penalty,Spearmans rho of horizon,Spearmans rho p-value of horizon,Kendalls tau of horizon,Kendalls tau p-value of horizon,Kruskal s^2 of horizon,Spearmans rho of event,Spearmans rho p-value of event,Kendalls tau of event,Kendalls tau p-value of event,Kruskal s^2 of event
29,30,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
30,31,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
31,32,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
32,33,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
33,34,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
34,35,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
35,36,19183.0,22524.0,0.7492601561544073,7.823552699055013e-294,0.5912613361519335,2.317287300832955e-280,0.361875641638101,0.8330140923683097,0.0,0.6841000262437671,0.0,0.23955634368305656
36,37,18617.0,22131.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411562052644406,0.0,0.6885294620576393,0.0,0.23337576953039707
37,38,18617.0,22131.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411562052644406,0.0,0.6885294620576393,0.0,0.23337576953039707
38,39,18617.0,22131.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411562052644406,0.0,0.6885294620576393,0.0,0.23337576953039707
39,40,18617.0,22131.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411562052644406,0.0,0.6885294620576393,0.0,0.23337576953039707
40,41,18617.0,22131.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411562052644406,0.0,0.6885294620576393,0.0,0.23337576953039707
41,42,17856.0,20872.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433203e-291,0.35226475253011325,0.8488296128360854,0.0,0.7129571970559431,0.0,0.2149388672130158
42,43,17856.0,20872.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433203e-291,0.35226475253011325,0.8488296128360854,0.0,0.7129571970559431,0.0,0.2149388672130158
43,44,17856.0,20872.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433203e-291,0.35226475253011325,0.8488296128360854,0.0,0.7129571970559431,0.0,0.2149388672130158
44,45,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
45,46,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
46,47,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
47,48,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
48,49,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
49,50,17499.0,20591.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504593266961541,0.0,0.7098966434496198,0.0,0.21252024648709406
50,51,16674.0,19709.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632056723487607,0.0,0.7251957538133473,0.0,0.198530899927829
51,52,16674.0,19709.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632056723487607,0.0,0.7251957538133473,0.0,0.198530899927829
52,53,16674.0,19709.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632056723487607,0.0,0.7251957538133473,0.0,0.198530899927829
53,54,16554.0,19339.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723597184741958,0.0,0.7299406634826667,0.0,0.19037893586651222
54,55,16554.0,19339.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723597184741958,0.0,0.7299406634826667,0.0,0.19037893586651222
55,56,16554.0,19339.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723597184741958,0.0,0.7299406634826667,0.0,0.19037893586651222
56,57,16507.0,19320.0,0.7979979482248152,0.0,0.640177090346921,0.0,0.3034272284849667,0.8851647628808943,0.0,0.741949701580021,0.0,0.17508812978509142
57,58,16400.0,19304.0,0.7972540663228087,0.0,0.642485132761338,0.0,0.30129051113097916,0.8860224488650198,0.0,0.7417000657465802,0.0,0.1751068441217502
58,59,15918.0,18830.0,0.795227899606616,0.0,0.6442154122767093,0.0,0.299936793777662,0.8772693538295272,0.0,0.7448163987882146,0.0,0.17863140050739285
59,60,15575.0,18567.0,0.8048271922055114,0.0,0.6522920561362858,0.0,0.2886029544115541,0.8825683918831004,0.0,0.7500962423863358,0.0,0.1718704842363191
60,61,15575.0,18567.0,0.8048271922055114,0.0,0.6522920561362858,0.0,0.2886029544115541,0.8825683918831004,0.0,0.7500962423863358,0.0,0.1718704842363191
61,62,15379.0,17974.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891044381876972,0.0,0.7520028017736031,0.0,0.16819184616721086
62,63,15379.0,17974.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891044381876972,0.0,0.7520028017736031,0.0,0.16819184616721086
63,64,15379.0,17974.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891044381876972,0.0,0.7520028017736031,0.0,0.16819184616721086
64,65,15379.0,17974.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891044381876972,0.0,0.7520028017736031,0.0,0.16819184616721086
65,66,15379.0,17974.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891044381876972,0.0,0.7520028017736031,0.0,0.16819184616721086
66,67,14756.0,17675.0,0.8046257402089302,0.0,0.6527058186290919,0.0,0.28848623872891466,0.8934916631510218,0.0,0.7639350288452834,0.0,0.1580963748908313
67,68,14756.0,17675.0,0.8046257402089302,0.0,0.6527058186290919,0.0,0.28848623872891466,0.8934916631510218,0.0,0.7639350288452834,0.0,0.1580963748908313
68,69,14785.0,17811.0,0.8153353655635879,0.0,0.6648237936002226,0.0,0.2727636685632627,0.8895654563804932,0.0,0.7642047818521149,0.0,0.15927821316020255
69,70,14785.0,17811.0,0.8153353655635879,0.0,0.6648237936002226,0.0,0.2727636685632627,0.8895654563804932,0.0,0.7642047818521149,0.0,0.15927821316020255
70,71,14304.0,17023.0,0.8178013927865047,0.0,0.6727921069162281,0.0,0.2672978146781436,0.8968640451779061,0.0,0.7727070308606584,0.0,0.15129499057820975
71,72,14070.0,16724.0,0.8238912631062589,0.0,0.6767205937115623,0.0,0.2608880924023696,0.9096807939470931,0.0,0.7822910351474452,0.0,0.13832100306063463
72,73,14070.0,16724.0,0.8238912631062589,0.0,0.6767205937115623,0.0,0.2608880924023696,0.9096807939470931,0.0,0.7822910351474452,0.0,0.13832100306063463
73,74,13519.0,15833.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162577517825651,0.0,0.7934908142243047,0.0,0.1284602366916832
74,75,13519.0,15833.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162577517825651,0.0,0.7934908142243047,0.0,0.1284602366916832
75,76,13519.0,15833.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162577517825651,0.0,0.7934908142243047,0.0,0.1284602366916832
76,77,13398.0,15897.0,0.8244960173700594,0.0,0.6810839072720638,0.0,0.2571992538355199,0.9181116939657902,0.0,0.7941299916879497,0.0,0.12647023797452164
