Event id,Event name,Taxon,Type,Level-Placed
145,F_121,121,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
160,F_123,123,0,1012.2382
370,F_152,152,0,1012.2382
544,F_24,24,0,1012.2382
765,F_58,58,0,1012.2382
939,F_82,82,0,1012.2382
986,F_90,90,0,1012.2382
249,F_135,135,0,1015.6919
293,F_142,142,0,1015.6919
317,F_145,145,0,1015.6919
505,F_176,176,0,1015.6919
515,F_188,188,0,1015.6919
526,F_206,206,0,1015.6919
527,F_207,207,0,1015.6919
573,F_29,29,0,1015.6919
679,F_45,45,0,1015.6919
803,F_63,63,0,1015.6919
1191,L_121,121,1,1015.6919
1416,L_152,152,1,1015.6919
1985,L_82,82,1,1015.6919
2032,L_90,90,1,1015.6919
154,F_122,122,0,1028.6717
492,F_171,171,0,1028.6717
503,F_175,175,0,1028.6717
113,F_117,117,0,1028.6963
303,F_143,143,0,1028.6963
377,F_153,153,0,1028.6963
514,F_186,186,0,1028.6963
518,F_193,193,0,1028.6963
525,F_200,200,0,1028.6963
810,F_64,64,0,1028.6963
866,F_72,72,0,1028.6963
1363,L_145,145,1,1029.3452
1423,L_153,153,1,1029.3452
1549,L_175,175,1,1029.3452
1562,L_189,189,1,1029.3452
1571,L_200,200,1,1029.3452
1811,L_58,58,1,1029.3452
1912,L_72,72,1,1029.3452
531,F_213,213,0,1032.3893
533,F_220,220,0,1032.3893
536,F_226,226,0,1032.3893
537,F_227,227,0,1032.3893
543,F_237,237,0,1032.3893
391,F_155,155,0,1036.8086
510,F_180,180,0,1036.8086
555,F_255,255,0,1036.8086
798,F_62,62,0,1036.8086
1295,L_135,135,1,1036.8086
1551,L_176,176,1,1036.8086
1561,L_188,188,1,1036.8086
1583,L_227,227,1,1036.8086
1619,L_29,29,1,1036.8086
1725,L_45,45,1,1036.8086
550,F_246,246,0,1071.1173
552,F_250,250,0,1071.1532
1339,L_142,142,1,1071.1532
1437,L_155,155,1,1071.1532
1844,L_62,62,1,1071.1532
1849,L_63,63,1,1071.1532
1856,L_64,64,1,1071.1532
512,F_183,183,0,1076.1213
1579,L_220,220,1,1076.1213
1590,L_24,24,1,1076.1213
520,F_195,195,0,1124.5593
655,F_42,42,0,1124.5593
1596,L_246,246,1,1124.5593
1601,L_255,255,1,1124.5593
342,F_148,148,0,1124.9949
424,F_160,160,0,1124.9949
522,F_197,197,0,1124.9949
593,F_330,330,0,1124.9949
1206,L_123,123,1,1124.9949
1558,L_183,183,1,1124.9949
1701,L_42,42,1,1124.9949
70,F_111,111,0,1125.0124
107,F_116,116,0,1125.0124
399,F_156,156,0,1125.0124
467,F_167,167,0,1125.0124
481,F_169,169,0,1125.0124
496,F_173,173,0,1125.0124
506,F_177,177,0,1125.0124
509,F_178,178,0,1125.0124
511,F_181,181,0,1125.0124
513,F_185,185,0,1125.0124
517,F_190,190,0,1125.0124
523,F_198,198,0,1125.0124
524,F_199,199,0,1125.0124
528,F_208,208,0,1125.0124
529,F_211,211,0,1125.0124
535,F_224,224,0,1125.0124
541,F_235,235,0,1125.0124
542,F_236,236,0,1125.0124
705,F_49,49,0,1125.0124
924,F_8,8,0,1125.0124
925,F_80,80,0,1125.0124
1639,L_330,330,1,1125.0124
1557,L_181,181,1,1127.0919
265,F_137,137,0,1127.6173
534,F_221,221,0,1127.6173
545,F_240,240,0,1127.6173
