Event id,Event name,Taxon,Type,Level-Placed
145,F_121,121,0,1000.0000
160,F_123,123,0,1000.0000
370,F_152,152,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
544,F_24,24,0,1000.0000
593,F_330,330,0,1000.0000
765,F_58,58,0,1012.0560
939,F_82,82,0,1012.0560
986,F_90,90,0,1012.0560
1639,L_330,330,1,1012.1288
249,F_135,135,0,1014.4313
293,F_142,142,0,1014.4313
317,F_145,145,0,1014.4313
391,F_155,155,0,1014.4313
505,F_176,176,0,1014.4313
515,F_188,188,0,1014.4313
526,F_206,206,0,1014.4313
527,F_207,207,0,1014.4313
573,F_29,29,0,1014.4313
679,F_45,45,0,1014.4313
798,F_62,62,0,1014.4313
803,F_63,63,0,1014.4313
1191,L_121,121,1,1014.4313
1416,L_152,152,1,1014.4313
1985,L_82,82,1,1014.4313
2032,L_90,90,1,1014.4313
113,F_117,117,0,1022.9557
154,F_122,122,0,1022.9557
377,F_153,153,0,1022.9557
492,F_171,171,0,1022.9557
503,F_175,175,0,1022.9557
810,F_64,64,0,1022.9557
514,F_186,186,0,1022.9926
518,F_193,193,0,1022.9926
866,F_72,72,0,1022.9926
1844,L_62,62,1,1022.9926
303,F_143,143,0,1023.0072
510,F_180,180,0,1023.0072
525,F_200,200,0,1023.0072
1437,L_155,155,1,1023.0072
559,F_261,261,0,1023.3908
1363,L_145,145,1,1023.3908
1423,L_153,153,1,1023.3908
1549,L_175,175,1,1023.3908
1562,L_189,189,1,1023.3908
1571,L_200,200,1,1023.3908
1811,L_58,58,1,1023.3908
1912,L_72,72,1,1023.3908
512,F_183,183,0,1025.1900
531,F_213,213,0,1025.1900
533,F_220,220,0,1025.1900
536,F_226,226,0,1025.1900
537,F_227,227,0,1025.1900
543,F_237,237,0,1025.1900
655,F_42,42,0,1027.8021
1339,L_142,142,1,1027.8021
1551,L_176,176,1,1027.8021
1579,L_220,220,1,1027.8021
1295,L_135,135,1,1028.3168
1558,L_183,183,1,1028.3168
1561,L_188,188,1,1028.3168
1619,L_29,29,1,1028.3168
1849,L_63,63,1,1028.3168
1605,L_261,261,1,1028.9392
550,F_246,246,0,1043.6429
552,F_250,250,0,1043.6429
1583,L_227,227,1,1043.6429
1701,L_42,42,1,1043.6429
342,F_148,148,0,1046.4818
520,F_195,195,0,1046.4818
530,F_212,212,0,1046.4818
558,F_260,260,0,1046.4818
589,F_315,315,0,1046.4818
1206,L_123,123,1,1046.4818
1590,L_24,24,1,1046.4818
1596,L_246,246,1,1046.4818
1725,L_45,45,1,1046.4818
1856,L_64,64,1,1046.4818
107,F_116,116,0,1046.5689
424,F_160,160,0,1046.5689
467,F_167,167,0,1046.5689
496,F_173,173,0,1046.5689
506,F_177,177,0,1046.5689
509,F_178,178,0,1046.5689
511,F_181,181,0,1046.5689
513,F_185,185,0,1046.5689
517,F_190,190,0,1046.5689
522,F_197,197,0,1046.5689
523,F_198,198,0,1046.5689
524,F_199,199,0,1046.5689
705,F_49,49,0,1046.5689
924,F_8,8,0,1046.5689
925,F_80,80,0,1046.5689
1604,L_260,260,1,1046.5689
1635,L_315,315,1,1046.5689
70,F_111,111,0,1048.6380
265,F_137,137,0,1048.6380
481,F_169,169,0,1048.6380
528,F_208,208,0,1048.6380
529,F_211,211,0,1048.6380
534,F_221,221,0,1048.6380
535,F_224,224,0,1048.6380
541,F_235,235,0,1048.6380
542,F_236,236,0,1048.6380
1153,L_116,116,1,1048.6380
1470,L_160,160,1,1048.6380
1542,L_173,173,1,1048.6380
1555,L_178,178,1,1048.6380
1557,L_181,181,1,1048.6380
1751,L_49,49,1,1048.6380
399,F_156,156,0,1049.1577
539,F_233,233,0,1049.1577
545,F_240,240,0,1049.1577
1569,L_198,198,1,1049.1577
1574,L_208,208,1,1049.1577
1587,L_235,235,1,1049.1577
1970,L_8,8,1,1049.1577
547,F_242,242,0,1052.7705
553,F_251,251,0,1052.7705
548,F_244,244,0,1059.7857
546,F_241,241,0,1061.9719
549,F_245,245,0,1061.9719
1445,L_156,156,1,1061.9719
1575,L_211,211,1,1061.9719
1591,L_240,240,1,1061.9719
1200,L_122,122,1,1062.6446
568,F_275,275,0,1066.5399
1593,L_242,242,1,1066.5399
576,F_295,295,0,1090.9147
622,F_384,384,0,1090.9147
1668,L_384,384,1,1093.2645
1595,L_245,245,1,1093.2672
538,F_230,230,0,1093.2795
582,F_303,303,0,1093.2795
1580,L_221,221,1,1093.2795
1116,L_111,111,1,1097.8937
1388,L_148,148,1,1097.8937
1513,L_167,167,1,1097.8937
1566,L_195,195,1,1097.8937
1159,L_117,117,1,1097.9013
1311,L_137,137,1,1097.9013
1559,L_185,185,1,1097.9013
1563,L_190,190,1,1097.9013
1570,L_199,199,1,1097.9013
1584,L_230,230,1,1097.9013
1585,L_233,233,1,1097.9013
1589,L_237,237,1,1097.9013
1971,L_80,80,1,1097.9013
551,F_248,248,0,1104.5305
555,F_255,255,0,1104.5305
557,F_259,259,0,1104.5305
561,F_265,265,0,1104.5305
567,F_274,274,0,1104.5305
1568,L_197,197,1,1104.5305
560,F_264,264,0,1106.8458
532,F_217,217,0,1109.1858
540,F_234,234,0,1109.1858
562,F_267,267,0,1109.1858
566,F_272,272,0,1109.1858
627,F_389,389,0,1109.1858
1601,L_255,255,1,1127.2646
569,F_281,281,0,1128.6493
585,F_31,31,0,1128.6493
564,F_270,270,0,1128.6554
1592,L_241,241,1,1128.6554
577,F_296,296,0,1128.9975
579,F_298,298,0,1128.9975
1567,L_196,196,1,1128.9975
578,F_297,297,0,1131.2062
1538,L_171,171,1,1131.8390
1556,L_180,180,1,1131.8390
1581,L_224,224,1,1131.8390
1588,L_236,236,1,1131.8390
1606,L_264,264,1,1131.8390
1607,L_265,265,1,1131.8390
1610,L_270,270,1,1131.8390
1612,L_272,272,1,1131.8390
572,F_289,289,0,1132.9093
581,F_302,302,0,1132.9093
1527,L_169,169,1,1132.9093
565,F_271,271,0,1133.0912
580,F_300,300,0,1133.5762
1603,L_259,259,1,1134.0932
570,F_285,285,0,1135.9442
571,F_287,287,0,1135.9442
592,F_328,328,0,1135.9442
1582,L_226,226,1,1135.9442
1624,L_297,297,1,1136.3498
575,F_294,294,0,1136.3746
1564,L_193,193,1,1136.3746
1577,L_213,213,1,1136.3746
1578,L_217,217,1,1136.3746
