Event id,Event name,Taxon,Type,Level-Placed
467,F_167,167,0,1000.0000
516,F_189,189,0,1000.0000
520,F_195,195,0,1000.0000
521,F_196,196,0,1000.0000
834,F_672,672,0,1000.0000
249,F_135,135,0,1012.1015
293,F_142,142,0,1012.1015
317,F_145,145,0,1012.1015
505,F_176,176,0,1012.1015
515,F_188,188,0,1012.1015
517,F_190,190,0,1012.1015
542,F_236,236,0,1012.1015
573,F_29,29,0,1012.1015
679,F_45,45,0,1012.1015
765,F_58,58,0,1012.1015
803,F_63,63,0,1012.1015
924,F_8,8,0,1012.1015
145,F_121,121,0,1037.7712
160,F_123,123,0,1037.7712
391,F_155,155,0,1037.7712
506,F_177,177,0,1037.7712
510,F_180,180,0,1037.7712
512,F_183,183,0,1037.7712
525,F_200,200,0,1037.7712
526,F_206,206,0,1037.7712
541,F_235,235,0,1037.7712
556,F_258,258,0,1037.7712
593,F_330,330,0,1037.7712
655,F_42,42,0,1037.7712
731,F_532,532,0,1037.7712
798,F_62,62,0,1037.7712
925,F_80,80,0,1037.7712
113,F_117,117,0,1039.3534
377,F_153,153,0,1039.3534
492,F_171,171,0,1039.3534
511,F_181,181,0,1039.3534
514,F_186,186,0,1039.3534
527,F_207,207,0,1039.3534
544,F_24,24,0,1039.3534
705,F_49,49,0,1039.3534
810,F_64,64,0,1039.3534
866,F_72,72,0,1039.3534
939,F_82,82,0,1039.3534
1558,L_183,183,1,1039.3534
154,F_122,122,0,1039.3777
303,F_143,143,0,1039.3777
481,F_169,169,0,1039.3777
496,F_173,173,0,1039.3777
503,F_175,175,0,1039.3777
518,F_193,193,0,1039.3777
986,F_90,90,0,1039.3777
70,F_111,111,0,1040.0194
370,F_152,152,0,1040.0194
523,F_198,198,0,1040.0194
528,F_208,208,0,1040.0194
545,F_240,240,0,1040.0194
559,F_261,261,0,1040.0194
1549,L_175,175,1,1040.0194
1562,L_189,189,1,1040.0194
1701,L_42,42,1,1040.0194
1912,L_72,72,1,1040.0194
1605,L_261,261,1,1041.1026
1639,L_330,330,1,1041.1309
107,F_116,116,0,1042.2370
424,F_160,160,0,1042.2370
509,F_178,178,0,1042.2370
524,F_199,199,0,1042.2370
535,F_224,224,0,1042.2370
549,F_245,245,0,1042.2370
1571,L_200,200,1,1042.2370
1985,L_82,82,1,1042.2370
241,F_134,134,0,1094.5206
555,F_255,255,0,1094.5206
589,F_315,315,0,1094.5206
756,F_568,568,0,1094.5206
1363,L_145,145,1,1094.5206
1423,L_153,153,1,1094.5206
1437,L_155,155,1,1094.5407
1811,L_58,58,1,1094.5407
342,F_148,148,0,1095.8307
513,F_185,185,0,1095.8307
522,F_197,197,0,1095.8307
529,F_211,211,0,1095.8307
530,F_212,212,0,1095.8307
531,F_213,213,0,1095.8307
533,F_220,220,0,1095.8307
536,F_226,226,0,1095.8307
537,F_227,227,0,1095.8307
539,F_233,233,0,1095.8307
543,F_237,237,0,1095.8307
1416,L_152,152,1,1095.8307
