Event id,Event name,Taxon,Type,Level-Placed
160,F_123,123,0,1000.0000
510,F_180,180,0,1000.0000
512,F_183,183,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
559,F_261,261,0,1000.0000
986,F_90,90,0,1000.0000
145,F_121,121,0,1012.1015
370,F_152,152,0,1012.1015
544,F_24,24,0,1012.1015
655,F_42,42,0,1012.1015
765,F_58,58,0,1012.1015
939,F_82,82,0,1012.1015
505,F_176,176,0,1015.5636
1191,L_121,121,1,1015.5636
1416,L_152,152,1,1015.5636
1985,L_82,82,1,1015.5636
293,F_142,142,0,1017.0485
573,F_29,29,0,1017.0485
679,F_45,45,0,1017.0485
1605,L_261,261,1,1017.0485
2032,L_90,90,1,1017.0485
249,F_135,135,0,1017.8368
317,F_145,145,0,1017.8368
515,F_188,188,0,1017.8368
803,F_63,63,0,1017.8368
1558,L_183,183,1,1017.8368
1701,L_42,42,1,1017.8368
113,F_117,117,0,1024.2542
154,F_122,122,0,1024.2542
391,F_155,155,0,1024.2542
503,F_175,175,0,1024.2542
514,F_186,186,0,1024.2542
518,F_193,193,0,1024.2542
525,F_200,200,0,1024.2542
526,F_206,206,0,1024.2542
527,F_207,207,0,1024.2542
798,F_62,62,0,1024.2542
810,F_64,64,0,1024.2542
866,F_72,72,0,1024.2542
303,F_143,143,0,1024.2688
377,F_153,153,0,1024.2930
492,F_171,171,0,1024.2930
1437,L_155,155,1,1024.2930
1363,L_145,145,1,1024.6139
1423,L_153,153,1,1024.6139
1549,L_175,175,1,1024.6139
1562,L_189,189,1,1024.6139
1571,L_200,200,1,1024.6139
1811,L_58,58,1,1024.6139
1912,L_72,72,1,1024.6139
531,F_213,213,0,1026.1190
533,F_220,220,0,1026.1190
536,F_226,226,0,1026.1190
537,F_227,227,0,1026.1190
543,F_237,237,0,1026.1190
1844,L_62,62,1,1026.1190
555,F_255,255,0,1028.3039
1551,L_176,176,1,1028.3039
1561,L_188,188,1,1065.1984
1583,L_227,227,1,1065.1984
1601,L_255,255,1,1065.1984
1849,L_63,63,1,1065.1984
1856,L_64,64,1,1065.1984
550,F_246,246,0,1078.0953
552,F_250,250,0,1078.0953
1725,L_45,45,1,1078.0953
107,F_116,116,0,1080.5854
424,F_160,160,0,1080.5854
506,F_177,177,0,1080.5854
520,F_195,195,0,1080.5854
522,F_197,197,0,1080.5854
593,F_330,330,0,1080.5854
925,F_80,80,0,1080.5854
1206,L_123,123,1,1080.5854
1295,L_135,135,1,1080.5854
1339,L_142,142,1,1080.5854
1579,L_220,220,1,1080.5854
1590,L_24,24,1,1080.5854
1596,L_246,246,1,1080.5854
1619,L_29,29,1,1080.5854
70,F_111,111,0,1080.6009
342,F_148,148,0,1080.6009
467,F_167,167,0,1080.6009
496,F_173,173,0,1080.6009
509,F_178,178,0,1080.6009
511,F_181,181,0,1080.6009
513,F_185,185,0,1080.6009
517,F_190,190,0,1080.6009
523,F_198,198,0,1080.6009
524,F_199,199,0,1080.6009
529,F_211,211,0,1080.6009
541,F_235,235,0,1080.6009
