Event id,Event name,Taxon,Type,Level-Placed
145,F_121,121,0,1000.0000
160,F_123,123,0,1000.0000
370,F_152,152,0,1000.0000
391,F_155,155,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
939,F_82,82,0,1000.0000
249,F_135,135,0,1011.9193
293,F_142,142,0,1011.9193
317,F_145,145,0,1011.9193
505,F_176,176,0,1011.9193
515,F_188,188,0,1011.9193
544,F_24,24,0,1011.9193
765,F_58,58,0,1011.9193
803,F_63,63,0,1011.9193
986,F_90,90,0,1011.9193
559,F_261,261,0,1015.3647
573,F_29,29,0,1015.3647
679,F_45,45,0,1015.3647
1191,L_121,121,1,1015.3647
1985,L_82,82,1,1015.3647
154,F_122,122,0,1028.0063
492,F_171,171,0,1028.0063
526,F_206,206,0,1028.0063
527,F_207,207,0,1028.0063
810,F_64,64,0,1028.0063
866,F_72,72,0,1028.0063
303,F_143,143,0,1028.0308
798,F_62,62,0,1028.0308
113,F_117,117,0,1029.1455
377,F_153,153,0,1029.1455
503,F_175,175,0,1029.1455
514,F_186,186,0,1029.1455
518,F_193,193,0,1029.1455
525,F_200,200,0,1029.1455
1416,L_152,152,1,1029.1455
1605,L_261,261,1,1029.1455
1549,L_175,175,1,1029.6195
1562,L_189,189,1,1029.6195
1811,L_58,58,1,1029.6195
2032,L_90,90,1,1029.6195
512,F_183,183,0,1029.6486
555,F_255,255,0,1029.6486
1363,L_145,145,1,1029.6486
1423,L_153,153,1,1029.6486
1437,L_155,155,1,1029.6486
1571,L_200,200,1,1029.6486
1844,L_62,62,1,1029.6486
1912,L_72,72,1,1029.6486
531,F_213,213,0,1031.4275
533,F_220,220,0,1074.5437
536,F_226,226,0,1074.5437
537,F_227,227,0,1074.5437
543,F_237,237,0,1074.5437
1601,L_255,255,1,1074.5437
510,F_180,180,0,1076.3884
655,F_42,42,0,1076.3884
1339,L_142,142,1,1076.3884
1551,L_176,176,1,1076.3884
1583,L_227,227,1,1076.3884
1725,L_45,45,1,1076.3884
1849,L_63,63,1,1076.3884
1856,L_64,64,1,1076.3884
424,F_160,160,0,1076.7735
496,F_173,173,0,1076.7735
1295,L_135,135,1,1076.7735
1558,L_183,183,1,1076.7735
1561,L_188,188,1,1076.7735
550,F_246,246,0,1089.6080
552,F_250,250,0,1089.6080
1619,L_29,29,1,1089.6080
1701,L_42,42,1,1089.6080
70,F_111,111,0,1092.0861
593,F_330,330,0,1092.0861
1590,L_24,24,1,1092.0861
1596,L_246,246,1,1092.0861
342,F_148,148,0,1092.1017
467,F_167,167,0,1092.1017
481,F_169,169,0,1092.1017
506,F_177,177,0,1092.1017
520,F_195,195,0,1092.1017
522,F_197,197,0,1092.1017
523,F_198,198,0,1092.1017
528,F_208,208,0,1092.1017
529,F_211,211,0,1092.1017
535,F_224,224,0,1092.1017
541,F_235,235,0,1092.1017
542,F_236,236,0,1092.1017
705,F_49,49,0,1092.1017
1206,L_123,123,1,1092.1017
1579,L_220,220,1,1092.1017
1639,L_330,330,1,1092.1017
107,F_116,116,0,1092.6267
509,F_178,178,0,1092.6267
511,F_181,181,0,1092.6267
513,F_185,185,0,1092.6267
517,F_190,190,0,1092.6267
524,F_199,199,0,1092.6267
924,F_8,8,0,1092.6267
925,F_80,80,0,1092.6267
1587,L_235,235,1,1092.6267
1557,L_181,181,1,1094.3135
1569,L_198,198,1,1094.3135
1574,L_208,208,1,1094.3135
265,F_137,137,0,1097.6215
399,F_156,156,0,1097.6215
530,F_212,212,0,1097.6215
534,F_221,221,0,1097.6215
539,F_233,233,0,1097.6215
545,F_240,240,0,1097.6215
547,F_242,242,0,1097.6215
553,F_251,251,0,1097.6215
1153,L_116,116,1,1097.6215
1470,L_160,160,1,1097.6215
1542,L_173,173,1,1097.6215
1555,L_178,178,1,1097.6215
1970,L_8,8,1,1097.6215
548,F_244,244,0,1101.0642
1445,L_156,156,1,1103.0707
1575,L_211,211,1,1103.0707
1591,L_240,240,1,1103.0707
549,F_245,245,0,1103.0816
1116,L_111,111,1,1103.0816
1200,L_122,122,1,1103.6990
1585,L_233,233,1,1103.6990
1593,L_242,242,1,1103.6990
1595,L_245,245,1,1103.7016
576,F_295,295,0,1124.0574
1580,L_221,221,1,1124.0574
1751,L_49,49,1,1124.0574
538,F_230,230,0,1126.5301
546,F_241,241,0,1126.5301
1584,L_230,230,1,1126.5371
1589,L_237,237,1,1126.5371
568,F_275,275,0,1129.8113
622,F_384,384,0,1129.8113
1159,L_117,117,1,1129.8113
1668,L_384,384,1,1131.7683
582,F_303,303,0,1131.7794
1563,L_190,190,1,1136.0234
1568,L_197,197,1,1136.0234
1570,L_199,199,1,1136.0234
562,F_267,267,0,1138.0480
1513,L_167,167,1,1138.0480
1971,L_80,80,1,1138.0480
557,F_259,259,0,1144.0978
561,F_265,265,0,1144.0978
585,F_31,31,0,1144.0978
1311,L_137,137,1,1144.0978
1566,L_195,195,1,1144.0978
564,F_270,270,0,1144.2291
540,F_234,234,0,1146.3986
551,F_248,248,0,1146.3986
560,F_264,264,0,1146.3986
566,F_272,272,0,1146.3986
627,F_389,389,0,1146.3986
1388,L_148,148,1,1146.3986
1559,L_185,185,1,1146.3986
569,F_281,281,0,1147.8950
579,F_298,298,0,1148.2653
577,F_296,296,0,1150.6212
578,F_297,297,0,1150.6212
532,F_217,217,0,1150.8968
558,F_260,260,0,1150.8968
567,F_274,274,0,1150.8968
1527,L_169,169,1,1150.8968
1581,L_224,224,1,1150.8968
1538,L_171,171,1,1150.9029
1567,L_196,196,1,1150.9029
1592,L_241,241,1,1150.9029
1606,L_264,264,1,1150.9029
1607,L_265,265,1,1150.9029
1610,L_270,270,1,1150.9029
1588,L_236,236,1,1151.3043
1612,L_272,272,1,1151.3043
572,F_289,289,0,1152.9496
580,F_300,300,0,1152.9496
581,F_302,302,0,1152.9496
1578,L_217,217,1,1152.9556
565,F_271,271,0,1153.1428
570,F_285,285,0,1153.1428
589,F_315,315,0,1153.1428
1556,L_180,180,1,1153.1428
571,F_287,287,0,1155.2355
1599,L_251,251,1,1155.2385
1604,L_260,260,1,1155.2768
575,F_294,294,0,1155.7887
1564,L_193,193,1,1155.7887
1582,L_226,226,1,1155.7887
1594,L_244,244,1,1155.7887
1603,L_259,259,1,1155.7887
1608,L_267,267,1,1155.7887
1616,L_285,285,1,1155.7887
