Event id,Event name,Taxon,Type,Level-Placed
145,F_121,121,0,1000.0000
160,F_123,123,0,1000.0000
370,F_152,152,0,1000.0000
510,F_180,180,0,1000.0000
512,F_183,183,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
527,F_207,207,0,1000.0000
655,F_42,42,0,1000.0000
939,F_82,82,0,1000.0000
544,F_24,24,0,1003.1849
986,F_90,90,0,1003.1849
1558,L_183,183,1,1003.1849
765,F_58,58,0,1009.1066
249,F_135,135,0,1011.4046
293,F_142,142,0,1011.4046
317,F_145,145,0,1011.4046
505,F_176,176,0,1011.4046
515,F_188,188,0,1011.4046
573,F_29,29,0,1011.4046
679,F_45,45,0,1011.4046
798,F_62,62,0,1011.4046
803,F_63,63,0,1011.4046
1191,L_121,121,1,1011.4046
1416,L_152,152,1,1011.4046
1701,L_42,42,1,1011.4046
1985,L_82,82,1,1011.4046
2032,L_90,90,1,1011.4046
113,F_117,117,0,1019.7787
154,F_122,122,0,1019.7787
377,F_153,153,0,1019.7787
492,F_171,171,0,1019.7787
514,F_186,186,0,1019.7787
518,F_193,193,0,1019.7787
525,F_200,200,0,1019.7787
526,F_206,206,0,1019.7787
810,F_64,64,0,1019.7787
303,F_143,143,0,1019.7970
503,F_175,175,0,1019.7970
866,F_72,72,0,1019.7970
1363,L_145,145,1,1020.2680
1423,L_153,153,1,1020.2680
1549,L_175,175,1,1020.2680
1571,L_200,200,1,1020.2680
1811,L_58,58,1,1020.2680
1912,L_72,72,1,1020.2680
550,F_246,246,0,1045.9496
552,F_250,250,0,1045.9496
1206,L_123,123,1,1050.9081
1562,L_189,189,1,1050.9081
1590,L_24,24,1,1050.9081
1596,L_246,246,1,1050.9081
391,F_155,155,0,1053.1176
531,F_213,213,0,1053.1176
533,F_220,220,0,1053.1176
536,F_226,226,0,1053.1176
537,F_227,227,0,1053.1176
543,F_237,237,0,1053.1176
1583,L_227,227,1,1056.3251
555,F_255,255,0,1056.3531
1295,L_135,135,1,1056.3531
1339,L_142,142,1,1056.3531
1437,L_155,155,1,1056.3531
1579,L_220,220,1,1056.3531
70,F_111,111,0,1098.1757
107,F_116,116,0,1098.1757
342,F_148,148,0,1098.1757
424,F_160,160,0,1098.1757
467,F_167,167,0,1098.1757
481,F_169,169,0,1098.1757
496,F_173,173,0,1098.1757
506,F_177,177,0,1098.1757
509,F_178,178,0,1098.1757
511,F_181,181,0,1098.1757
513,F_185,185,0,1098.1757
517,F_190,190,0,1098.1757
520,F_195,195,0,1098.1757
522,F_197,197,0,1098.1757
523,F_198,198,0,1098.1757
524,F_199,199,0,1098.1757
529,F_211,211,0,1098.1757
542,F_236,236,0,1098.1757
705,F_49,49,0,1098.1757
924,F_8,8,0,1098.1757
925,F_80,80,0,1098.1757
1551,L_176,176,1,1098.1757
1561,L_188,188,1,1098.1757
1601,L_255,255,1,1098.1757
1619,L_29,29,1,1098.1757
1725,L_45,45,1,1098.1757
1844,L_62,62,1,1098.1757
1849,L_63,63,1,1098.1757
1856,L_64,64,1,1098.1757
265,F_137,137,0,1100.4951
399,F_156,156,0,1100.4951
528,F_208,208,0,1100.4951
530,F_212,212,0,1100.4951
535,F_224,224,0,1100.4951
541,F_235,235,0,1100.4951
559,F_261,261,0,1100.4951
1470,L_160,160,1,1100.4951
1542,L_173,173,1,1100.4951
1555,L_178,178,1,1100.4951
1970,L_8,8,1,1100.4951
1557,L_181,181,1,1101.0753
1569,L_198,198,1,1101.0753
1751,L_49,49,1,1101.0753
534,F_221,221,0,1101.5045
539,F_233,233,0,1101.5045
545,F_240,240,0,1101.5045
1574,L_208,208,1,1101.5045
1587,L_235,235,1,1101.5045
1605,L_261,261,1,1101.5045
553,F_251,251,0,1105.1245
547,F_242,242,0,1108.8920
548,F_244,244,0,1108.8920
1153,L_116,116,1,1108.8920
1445,L_156,156,1,1111.0809
1575,L_211,211,1,1111.0809
1116,L_111,111,1,1111.0928
1591,L_240,240,1,1111.0928
568,F_275,275,0,1114.9624
1200,L_122,122,1,1115.6359
582,F_303,303,0,1135.9161
538,F_230,230,0,1138.8198
546,F_241,241,0,1138.8198
1388,L_148,148,1,1143.8354
1570,L_199,199,1,1143.8354
549,F_245,245,0,1143.8436
1159,L_117,117,1,1143.8436
1311,L_137,137,1,1143.8436
1513,L_167,167,1,1143.8436
1559,L_185,185,1,1143.8436
1563,L_190,190,1,1143.8436
1566,L_195,195,1,1143.8436
1568,L_197,197,1,1143.8436
1584,L_230,230,1,1143.8436
1589,L_237,237,1,1143.8436
558,F_260,260,0,1143.8475
589,F_315,315,0,1143.8475
1593,L_242,242,1,1143.8475
1595,L_245,245,1,1143.8475
1971,L_80,80,1,1143.8475
1580,L_221,221,1,1143.8973
1585,L_233,233,1,1143.8973
1604,L_260,260,1,1143.8973
1635,L_315,315,1,1143.8973
532,F_217,217,0,1152.9116
540,F_234,234,0,1152.9116
551,F_248,248,0,1152.9116
560,F_264,264,0,1152.9116
562,F_267,267,0,1152.9116
593,F_330,330,0,1152.9116
564,F_270,270,0,1152.9212
567,F_274,274,0,1152.9212
1639,L_330,330,1,1152.9212
561,F_265,265,0,1155.0443
569,F_281,281,0,1155.0443
585,F_31,31,0,1155.0443
566,F_272,272,0,1157.0660
557,F_259,259,0,1159.6016
577,F_296,296,0,1159.6016
578,F_297,297,0,1159.6016
579,F_298,298,0,1159.6072
1567,L_196,196,1,1159.6072
1607,L_265,265,1,1159.6072
627,F_389,389,0,1159.8642
1527,L_169,169,1,1159.8642
1538,L_171,171,1,1159.8642
1556,L_180,180,1,1159.8642
1581,L_224,224,1,1159.8642
1588,L_236,236,1,1159.8642
1592,L_241,241,1,1159.8642
1606,L_264,264,1,1159.8642
571,F_287,287,0,1161.8271
570,F_285,285,0,1162.2029
1610,L_270,270,1,1162.2029
1612,L_272,272,1,1162.2029
581,F_302,302,0,1163.2543
572,F_289,289,0,1163.2582
1599,L_251,251,1,1163.2582
1616,L_285,285,1,1163.2582
575,F_294,294,0,1163.7417
580,F_300,300,0,1163.7417
1578,L_217,217,1,1163.7473
1577,L_213,213,1,1163.7753
1594,L_244,244,1,1164.0539
565,F_271,271,0,1166.0032
1564,L_193,193,1,1166.0032
1631,L_31,31,1,1166.0032
1603,L_259,259,1,1166.5100
584,F_308,308,0,1185.0818
592,F_328,328,0,1185.0818
