Event id,Event name,Taxon,Type,Level-Placed
509,F_178,178,0,1000.0000
511,F_181,181,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
526,F_206,206,0,1000.0000
545,F_240,240,0,1000.0000
939,F_82,82,0,1000.0000
249,F_135,135,0,1012.4052
293,F_142,142,0,1012.4052
317,F_145,145,0,1012.4052
342,F_148,148,0,1012.4052
370,F_152,152,0,1012.4052
391,F_155,155,0,1012.4052
424,F_160,160,0,1012.4052
467,F_167,167,0,1012.4052
496,F_173,173,0,1012.4052
505,F_176,176,0,1012.4052
506,F_177,177,0,1012.4052
510,F_180,180,0,1012.4052
512,F_183,183,0,1012.4052
515,F_188,188,0,1012.4052
517,F_190,190,0,1012.4052
524,F_199,199,0,1012.4052
527,F_207,207,0,1012.4052
534,F_221,221,0,1012.4052
535,F_224,224,0,1012.4052
539,F_233,233,0,1012.4052
541,F_235,235,0,1012.4052
544,F_24,24,0,1012.4052
573,F_29,29,0,1012.4052
593,F_330,330,0,1012.4052
655,F_42,42,0,1012.4052
679,F_45,45,0,1012.4052
705,F_49,49,0,1012.4052
721,F_515,515,0,1012.4052
765,F_58,58,0,1012.4052
803,F_63,63,0,1012.4052
925,F_80,80,0,1012.4052
986,F_90,90,0,1012.4052
160,F_123,123,0,1012.4767
556,F_258,258,0,1012.4767
1639,L_330,330,1,1012.4767
70,F_111,111,0,1025.6336
113,F_117,117,0,1025.6336
145,F_121,121,0,1025.6336
492,F_171,171,0,1025.6336
528,F_208,208,0,1025.6336
542,F_236,236,0,1025.6336
810,F_64,64,0,1025.6336
107,F_116,116,0,1026.6748
399,F_156,156,0,1026.6748
503,F_175,175,0,1026.6748
520,F_195,195,0,1026.6748
529,F_211,211,0,1026.6748
798,F_62,62,0,1026.6748
866,F_72,72,0,1026.6748
1558,L_183,183,1,1026.6748
154,F_122,122,0,1026.6929
303,F_143,143,0,1026.6929
513,F_185,185,0,1026.6929
514,F_186,186,0,1026.6929
518,F_193,193,0,1026.6929
525,F_200,200,0,1026.6929
558,F_260,260,0,1026.6929
377,F_153,153,0,1026.7218
1437,L_155,155,1,1026.7218
265,F_137,137,0,1028.1618
481,F_169,169,0,1028.1618
522,F_197,197,0,1028.1618
523,F_198,198,0,1028.1618
924,F_8,8,0,1028.1618
1363,L_145,145,1,1028.1618
1416,L_152,152,1,1028.1618
1423,L_153,153,1,1028.1618
1549,L_175,175,1,1028.1618
1562,L_189,189,1,1028.1618
1571,L_200,200,1,1028.1618
1811,L_58,58,1,1028.1618
1844,L_62,62,1,1028.1618
1912,L_72,72,1,1028.1618
533,F_220,220,0,1029.7046
536,F_226,226,0,1029.7046
543,F_237,237,0,1029.7046
531,F_213,213,0,1033.1727
549,F_245,245,0,1033.1727
1470,L_160,160,1,1033.1727
537,F_227,227,0,1033.8365
1569,L_198,198,1,1033.8365
1587,L_235,235,1,1033.8365
1701,L_42,42,1,1033.8365
530,F_212,212,0,1072.5447
750,F_561,561,0,1072.5447
1153,L_116,116,1,1072.5447
1542,L_173,173,1,1072.5447
1574,L_208,208,1,1072.5447
1985,L_82,82,1,1072.5447
2032,L_90,90,1,1072.5447
555,F_255,255,0,1074.2245
1191,L_121,121,1,1074.2245
1339,L_142,142,1,1074.2245
1725,L_45,45,1,1074.2245
553,F_251,251,0,1078.7293
1555,L_178,178,1,1078.7293
1557,L_181,181,1,1078.7293
547,F_242,242,0,1083.3831
548,F_244,244,0,1083.3831
1583,L_227,227,1,1083.3831
603,F_349,349,0,1086.0848
1445,L_156,156,1,1086.0848
1551,L_176,176,1,1086.0848
1561,L_188,188,1,1086.0848
1575,L_211,211,1,1086.0848
1619,L_29,29,1,1086.0848
1751,L_49,49,1,1086.0848
1849,L_63,63,1,1086.0848
552,F_250,250,0,1097.1220
559,F_261,261,0,1097.1220
1591,L_240,240,1,1097.1220
1593,L_242,242,1,1097.9681
1200,L_122,122,1,1123.0811
1601,L_255,255,1,1123.0811
550,F_246,246,0,1144.0037
586,F_311,311,0,1144.0037
622,F_384,384,0,1144.0037
1116,L_111,111,1,1144.0037
1295,L_135,135,1,1144.0037
1579,L_220,220,1,1144.0037
1970,L_8,8,1,1144.0037
589,F_315,315,0,1144.0086
1595,L_245,245,1,1144.0086
1856,L_64,64,1,1144.0086
538,F_230,230,0,1146.7966
576,F_295,295,0,1149.5110
546,F_241,241,0,1154.1518
568,F_275,275,0,1154.1518
689,F_461,461,0,1154.1518
1159,L_117,117,1,1154.1596
1589,L_237,237,1,1156.2674
1668,L_384,384,1,1156.2674
582,F_303,303,0,1156.2794
1604,L_260,260,1,1156.3287
1635,L_315,315,1,1156.3287
1568,L_197,197,1,1161.8813
562,F_267,267,0,1165.4632
1513,L_167,167,1,1165.4632
1584,L_230,230,1,1165.4632
540,F_234,234,0,1171.8924
557,F_259,259,0,1171.8924
560,F_264,264,0,1171.8924
1580,L_221,221,1,1171.8924
566,F_272,272,0,1174.0451
565,F_271,271,0,1174.2491
1596,L_246,246,1,1175.6190
564,F_270,270,0,1178.2665
569,F_281,281,0,1178.2665
1206,L_123,123,1,1178.2665
1590,L_24,24,1,1178.2665
532,F_217,217,0,1178.6410
579,F_298,298,0,1178.6410
587,F_312,312,0,1178.6410
1388,L_148,148,1,1178.6410
570,F_285,285,0,1180.8102
571,F_287,287,0,1180.8102
575,F_294,294,0,1180.8102
585,F_31,31,0,1180.8102
610,F_363,363,0,1180.8102
551,F_248,248,0,1183.1392
561,F_265,265,0,1183.1392
567,F_274,274,0,1183.1392
577,F_296,296,0,1183.1392
578,F_297,297,0,1183.1392
597,F_338,338,0,1183.1392
1311,L_137,137,1,1183.1392
627,F_389,389,0,1183.1455
1607,L_265,265,1,1183.1455
1606,L_264,264,1,1183.4242
1538,L_171,171,1,1183.8225
1570,L_199,199,1,1183.8225
1592,L_241,241,1,1183.8225
1612,L_272,272,1,1183.8225
1563,L_190,190,1,1183.8277
1608,L_267,267,1,1183.8277
1567,L_196,196,1,1184.0845
1605,L_261,261,1,1184.0845
580,F_300,300,0,1185.6663
581,F_302,302,0,1185.6663
584,F_308,308,0,1185.6663
592,F_328,328,0,1185.6663
1599,L_251,251,1,1185.6663
572,F_289,289,0,1186.1737
1625,L_298,298,1,1186.1737
590,F_323,323,0,1186.5721
1624,L_297,297,1,1186.5721
1971,L_80,80,1,1186.5721
1582,L_226,226,1,1186.5777
241,F_134,134,0,1186.6030
785,F_600,600,0,1186.6030
1556,L_180,180,1,1186.6030
1577,L_213,213,1,1186.6030
1585,L_233,233,1,1186.6030
1594,L_244,244,1,1186.6030
1603,L_259,259,1,1186.6030
1613,L_274,274,1,1186.6030
1627,L_302,302,1,1186.6030
1631,L_31,31,1,1186.6030
1566,L_195,195,1,1186.6427
1630,L_308,308,1,1186.6427
1578,L_217,217,1,1187.3556
1586,L_234,234,1,1187.3556
598,F_339,339,0,1188.2723
1527,L_169,169,1,1188.2737
1564,L_193,193,1,1188.2737
1644,L_339,339,1,1188.2737
1615,L_281,281,1,1188.5698
596,F_336,336,0,1191.0655
731,F_532,532,0,1191.0655
1610,L_270,270,1,1191.0655
602,F_347,347,0,1191.2385
594,F_332,332,0,1191.2411
612,F_365,365,0,1191.2463
617,F_372,372,0,1202.2356
674,F_445,445,0,1202.2356
1636,L_323,323,1,1202.2356
599,F_341,341,0,1203.2234
601,F_346,346,0,1203.2234
607,F_357,357,0,1203.2234
615,F_368,368,0,1203.2234
661,F_426,426,0,1203.2234
583,F_307,307,0,1213.8842
618,F_374,374,0,1213.8842
1616,L_285,285,1,1213.8842
595,F_334,334,0,1219.6850
620,F_380,380,0,1219.6850
563,F_268,268,0,1220.2642
1559,L_185,185,1,1220.2642
1588,L_236,236,1,1220.2642
1617,L_287,287,1,1220.2642
600,F_345,345,0,1224.2861
606,F_355,355,0,1224.2861
619,F_378,378,0,1224.2861
631,F_394,394,0,1224.2861
554,F_254,254,0,1227.6881
1581,L_224,224,1,1227.6881
574,F_293,293,0,1232.9278
613,F_366,366,0,1232.9278
624,F_386,386,0,1232.9278
197,F_128,128,0,1233.3833
588,F_313,313,0,1233.3833
628,F_391,391,0,1233.3833
608,F_361,361,0,1238.5700
611,F_364,364,0,1238.5700
616,F_371,371,0,1238.5700
623,F_385,385,0,1238.5700
654,F_419,419,0,1238.5700
591,F_325,325,0,1238.8819
1657,L_364,364,1,1238.8849
609,F_362,362,0,1239.3582
614,F_367,367,0,1239.3582
626,F_388,388,0,1239.3582
629,F_392,392,0,1239.3582
519,F_194,194,0,1240.0654
625,F_387,387,0,1240.0654
633,F_396,396,0,1240.0654
1663,L_372,372,1,1240.0654
1560,L_186,186,1,1240.3334
1673,L_389,389,1,1240.3334
637,F_400,400,0,1242.1989
635,F_398,398,0,1242.1999
638,F_401,401,0,1242.1999
642,F_405,405,0,1242.1999
775,F_590,590,0,1242.1999
1598,L_250,250,1,1242.1999
