Event id,Event name,Taxon,Type,Level-Placed
512,F_183,183,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
526,F_206,206,0,1000.0000
593,F_330,330,0,1000.0000
655,F_42,42,0,1000.0000
370,F_152,152,0,1000.1454
939,F_82,82,0,1000.1454
1639,L_330,330,1,1000.1454
510,F_180,180,0,1006.1734
573,F_29,29,0,1006.1734
145,F_121,121,0,1007.2403
160,F_123,123,0,1007.2403
293,F_142,142,0,1007.2403
505,F_176,176,0,1007.2403
544,F_24,24,0,1007.2403
765,F_58,58,0,1007.2403
986,F_90,90,0,1007.2403
1558,L_183,183,1,1007.2403
1701,L_42,42,1,1007.2403
249,F_135,135,0,1008.9538
317,F_145,145,0,1008.9538
515,F_188,188,0,1008.9538
527,F_207,207,0,1008.9538
679,F_45,45,0,1008.9538
803,F_63,63,0,1008.9538
1191,L_121,121,1,1008.9538
1416,L_152,152,1,1008.9538
1985,L_82,82,1,1008.9538
2032,L_90,90,1,1008.9538
113,F_117,117,0,1015.3470
154,F_122,122,0,1015.3470
377,F_153,153,0,1015.3470
492,F_171,171,0,1015.3470
503,F_175,175,0,1015.3470
514,F_186,186,0,1015.3470
518,F_193,193,0,1015.3470
525,F_200,200,0,1015.3470
810,F_64,64,0,1015.3470
866,F_72,72,0,1015.3470
303,F_143,143,0,1015.3616
1363,L_145,145,1,1015.7452
1423,L_153,153,1,1015.7452
1549,L_175,175,1,1015.7452
1562,L_189,189,1,1015.7452
1571,L_200,200,1,1015.7452
1811,L_58,58,1,1015.7452
1912,L_72,72,1,1015.7452
531,F_213,213,0,1017.5445
533,F_220,220,0,1017.5445
536,F_226,226,0,1017.5445
537,F_227,227,0,1017.5445
543,F_237,237,0,1017.5445
1551,L_176,176,1,1020.1566
1579,L_220,220,1,1020.1566
391,F_155,155,0,1040.5822
550,F_246,246,0,1040.5822
552,F_250,250,0,1040.5822
798,F_62,62,0,1040.5822
1561,L_188,188,1,1040.5822
1583,L_227,227,1,1040.5822
1725,L_45,45,1,1040.5822
1856,L_64,64,1,1040.5822
1590,L_24,24,1,1044.5259
523,F_198,198,0,1044.5490
530,F_212,212,0,1044.5490
558,F_260,260,0,1044.5490
589,F_315,315,0,1044.5490
1206,L_123,123,1,1044.5490
1295,L_135,135,1,1044.5490
1339,L_142,142,1,1044.5490
1437,L_155,155,1,1044.5490
1596,L_246,246,1,1044.5490
1844,L_62,62,1,1044.5490
1849,L_63,63,1,1044.5490
107,F_116,116,0,1044.6490
342,F_148,148,0,1044.6490
424,F_160,160,0,1044.6490
467,F_167,167,0,1044.6490
496,F_173,173,0,1044.6490
506,F_177,177,0,1044.6490
509,F_178,178,0,1044.6490
511,F_181,181,0,1044.6490
513,F_185,185,0,1044.6490
517,F_190,190,0,1044.6490
520,F_195,195,0,1044.6490
522,F_197,197,0,1044.6490
524,F_199,199,0,1044.6490
541,F_235,235,0,1044.6490
542,F_236,236,0,1044.6490
705,F_49,49,0,1044.6490
924,F_8,8,0,1044.6490
925,F_80,80,0,1044.6490
1604,L_260,260,1,1044.6490
1619,L_29,29,1,1044.6490
1635,L_315,315,1,1044.6490
70,F_111,111,0,1046.9768
528,F_208,208,0,1046.9768
529,F_211,211,0,1046.9768
534,F_221,221,0,1046.9768
535,F_224,224,0,1046.9768
1470,L_160,160,1,1046.9768
1542,L_173,173,1,1046.9768
1555,L_178,178,1,1046.9768
1557,L_181,181,1,1046.9768
1751,L_49,49,1,1046.9768
1970,L_8,8,1,1046.9768
481,F_169,169,0,1051.0411
539,F_233,233,0,1051.0411
546,F_241,241,0,1051.0411
545,F_240,240,0,1051.6150
1569,L_198,198,1,1051.6150
1574,L_208,208,1,1051.6150
1587,L_235,235,1,1051.6150
399,F_156,156,0,1052.6336
547,F_242,242,0,1052.6336
1153,L_116,116,1,1052.6336
265,F_137,137,0,1055.6122
553,F_251,251,0,1055.6122
548,F_244,244,0,1059.7790
538,F_230,230,0,1062.1898
1445,L_156,156,1,1062.1898
1575,L_211,211,1,1062.1898
1591,L_240,240,1,1062.1898
1200,L_122,122,1,1062.9316
1116,L_111,111,1,1062.9445
1585,L_233,233,1,1062.9445
